country,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,1.7536534446764,1.96963479688141,4.62776659959759,2.61538461538462,0.224887556221881,0.860134629768143,1.48312940304042,4.45743514797223,4.40713536201469,2.98157453936348,2.73259596616785,2.34325522482586,2.69183168316831,3.55528773727027,2.32761128891474,4.35029854990048,1.77111716621253,2.91834002677377,3.3038501560874,1.76278015613196,2.44988864142539,2.487922705314,1.5083667216592,1.27699094497329,1.94864740944519,1.91140094445696,1.61076787290378,0.846905537459296,2.86391042204996,6.59409671341845,5.597014925373138
Austria,3.63178554402613,2.95340652383276,2.2433637541205,1.86097410872888,1.3059833037407,0.922466865804051,0.568986519284555,2.34486839687016,2.64999999999997,1.81035882448452,1.35555378358982,2.06120682873104,2.29913772525068,1.44154653778849,2.16855593888618,3.21595111754302,0.506309393986597,1.81353173680539,3.28658305428623,2.48567508675653,2.00015749271597,1.60580560487915,0.896565286860077,0.891592367302709,2.08126858275521,1.99838187702262,1.53089553422702,1.38190954773872,2.76666666666667,8.54686993188452,7.814134170028403
Belgium,2.75442578302316,2.37754452926211,1.46796116504854,2.07702462348191,1.62816049512958,0.949250288350633,1.12084823417846,2.54451776190907,2.46925823086076,1.6452143617536,1.5889639997038,2.09728311239311,2.78143263670022,1.79120770070459,1.8230563002681,4.48944420508401,-0.0531456741253759,2.18929920422456,3.53208210722745,2.83966343445896,1.11309594027539,0.340002833356929,0.561429152790128,1.97385264653172,2.12597086002609,2.05316499865182,1.43681956996435,0.740791812220349,2.44024851144084,9.59751172872496,4.04901077613943
Canada,1.86507936507936,0.16556291390731,2.14876033057849,1.57053112507136,1.6212163808453,0.995942456658049,1.73484295105918,2.71943995691977,2.52512013979905,2.25839440940856,2.75856321360111,1.8572587185726,2.21355203439764,2.0020253953416,2.13838399266839,2.37027067444296,0.299466803009292,1.77687154092627,2.91213508872353,1.5156782312452,0.938291897815255,1.90663590717873,1.1252413609428,1.4287595470108,1.59688412852967,2.268225672481,1.94926902411599,0.716999632307876,3.3951931852753,6.80280115341612,3.8790015978841756
Chile,12.7277614079796,11.4431243586732,8.23263354574717,7.35911466302754,6.1338665153681,5.1102441331205,3.33688286188992,3.84327347283565,3.56910113383644,2.48939833123408,2.81017725948149,1.05473933228727,3.05257394340732,3.39201899113601,4.40779790450224,8.71626854777146,0.353046731831005,1.41071064108997,3.341216942593,3.00744840213049,1.78955553984588,4.7186752785467,4.3487735321705,3.78619355893114,2.18271846868521,2.43488981353058,2.55754475703327,3.04549084804329,4.52456838259136,11.643866711056,7.581682514079677
Colombia,22.442481511914522,22.84623773173393,20.89180238314724,20.797559873474928,18.470027120546142,18.676981370382073,10.873686311028335,9.225346831646068,7.965561749924458,6.351507751790082,7.129787971920959,5.904021968453826,5.051016105911136,4.293425911061166,5.544384903264272,6.996882577069634,4.202518273670602,2.2720026161958584,3.415031896014175,3.1693025988281556,2.0169930918735983,2.8988381145433775,4.98982905677886,7.5134605971610195,4.3143131750006285,3.2405695546490114,3.523019945129637,2.5266199335943798,3.4950724975081666,10.177238842905535,11.73589515744528
Costa Rica,9.7786007829378,13.5344687273427,23.1864981102567,17.5114524814592,13.2480440791191,11.6592997742233,10.0452817292494,10.9615496593622,11.2556157091172,9.16752048509116,9.44758091616977,12.3148150178852,13.7982949108987,11.4705968149052,9.35724456417162,13.4244635507283,7.84270167700652,5.66275708420028,4.87799830970695,4.49545314354609,5.23133614174428,4.51920098516957,0.801982005099572,-0.0174788505907922,1.62590692991728,2.22111461526588,2.09604635327804,0.724911478131366,1.72647755109235,NA,NA
Czechia,20.813026140895,10.0394242229761,8.99053056374664,8.7587747287811,8.59615666715563,10.6983655274889,2.13544844417325,3.77538829151734,4.66267556988258,1.90298097019028,0.118739205526786,2.76010781671159,1.85709789109223,2.53399258343634,2.85312437211171,6.35866380152375,1.0193773532923,1.47272727272728,1.91721913635548,3.28762306610408,1.43829787234044,0.343988589646767,0.309364548494994,0.683504209385704,2.45053398460135,2.14949494949495,2.84787595918045,3.16129528497807,3.8398449150015,15.1001651468371,10.661260137242667
Denmark,1.25786163522011,1.99201419698313,2.08360520248815,2.12629964206578,2.18216714649311,1.84565128623929,2.49779488413117,2.9032770873677,2.33787483702739,2.42443661219695,2.07507820646506,1.15435693124937,1.81781458291256,1.92422138464586,1.69326586220323,3.4162679425837,1.30470991024337,2.31092436974791,2.75868226051244,2.39791485664642,0.789071780078051,0.564020540449527,0.452034153691607,0.250000000000028,1.14713216957604,0.813609467455652,0.758131572511587,0.420711974110029,1.85304543989688,7.69656699889256,3.3051781123760637
Estonia,NA,NA,NA,NA,NA,8.74475061724623,3.29611089718906,4.01848952508761,5.74827981651375,3.57191270164023,1.33499116549963,3.04811107523412,4.0797142319985,4.43762042389209,6.60132603055638,10.3623580313683,-0.0784083112809932,2.97204512015693,4.98190131453613,3.93339987296976,2.78056658954996,-0.106175146521696,-0.492326006547323,0.148684907627339,3.41723549488054,3.43632688420444,2.27725931243521,-0.44453109767986,4.65316673847476,19.3982622872331,9.159226104551351
