First Name,Last Name,Sport,Hometown City,Hometown State,Event
Kevon,Williams,Rugby (Men),Houston,Texas,Men
Austen,Smith,Shooting,Keller,Texas,Skeet Women
Phillip,Jungman,Shooting,Caldwell,Texas,Skeet Men
Catherine,Osterman,Softball (Women),Houston,Texas,Softball
Simone,Manuel,Swimming,Sugar Land,Texas,W 50m Freestyle
Huijing,Wang,Table Tennis,Sugar Land,Texas,W Team
Austin,Krajicek,Tennis,Plano,Texas,M Doubles
Ariana,Ince,Track and Field,Gonzales,Texas,W Javelin Throw
Bryce,Deadmon,Track and Field,Missouri City,Texas,4 x 400m Relay MixedTexas (31) - Continued
Bryce,Hoppel,Track and Field,Midland,Texas,M 800m
Fred,Kerley,Track and Field,San Antonio,Texas,"M 100m, M 200m, M 4 x 100m Relay"
Jasmine,Moore,Track and Field,Grand Prairie,Texas,W Triple Jump
Raevyn,Rogers,Track and Field,Houston,Texas,W 800m
Steffin,McCarter,Track and Field,Copperas Cove,Texas,M Long Jump
Chiaka,Ogbogu,Volleyball (Women),Coppell,Texas,Women
Jourdan,Delacruz,Weightlifting,Wylie,Texas,W 49kg
Tamyra,Mensah-Stock,Wrestling,Katy,Texas,W Freestyle 68kg
Jordan,Matyas,Rugby (Women),Calgary,Utah,Women
Nathaniel,Coleman,Sport Climbing,Salt Lake City,Utah,M Combined
Rhyan,White,Swimming,Herriman,Utah,"W 100m Backstroke, W 200m Backstroke"
Jacob,Gibb,Volleyball (Beach),Bountiful,Utah,Men
Ilona,Maher,Rugby (Women),Burlington,Vermont,Women
Elinor,Purrier,Track and Field,Montgomery,Vermont,W 1500m
Keyshawn,Davis,Boxing,Norfolk,Virginia,M Light (57-63kg)
Troy,Isley,Boxing,Alexandria,Virginia,M Middle (69-75kg)
Justin,Dowell,Cycling,Virginia Beach,Virginia,M Park - BMF
Claire,Collins,Rowing,McLean,Virginia,W Four
Cheta,Emba,Rugby (Women),Richmond,Virginia,Women
Andrew,Seliskar,Swimming,McLean,Virginia,M 200m Free (R)
Townley,Haas,Swimming,Henrico,Virginia,M 200m Freestyle
Torri,Huske,Swimming,Arlington,Virginia,W 100m Butterfly
Grant,Holloway,Track and Field,Chesapeake,Virginia,M 110m HurdlesVirginia (13) - Continued
Michael,Cherry,Track and Field,Chesapeake,Virginia,"M 4 x 400m Relay, M 400m"
Noah,Lyles,Track and Field,Alexandria,Virginia,M 200m
Trevor,Stewart,Track and Field,Lorton,Virginia,"M 4 x 400m Relay, M 400m"
Ty,Butts-Townsend,Track and Field,Hampton,Virginia,W High Jump
Zach,Lavine,Basketball (Men),Renton,Washington,Men
Nevin,Harrison,Canoe/Kayak,Seattle,Washington,W Canoe Single 200m
Adrian,Hegyvary,Cycling,Seattle,Washington,M Madison
Katrina,Young,Diving,Seattle,Washington,W 10m Platform
Jordan,Chiles,Gymnastic (Artistic),Vancouver,Washington,Women
Jacob,Riley,Track and Field,Bellingham,Washington,M Marathon
Kara,Winger,Track and Field,Vancouver,Washington,W Javelin Throw
Harrison,Maurus,Weightlifting,Auburn,Washington,M 81kg
Alison,Rusher,Rowing,West Bend,Wisconsin,W Quadruple Sculls
Madeleine,Wanamaker,Rowing,Neenah,Wisconsin,W Four
Megan,Kalmoe,Rowing,Saint Croix Falls,Wisconsin,W Pair
Stephanie,Roble,Sailing,East Troy,Wisconsin,49er FX Women
Madelynn,Bernau,Shooting,Waterford,Wisconsin,Trap Women
Alicia,Monson,Track and Field,Amery,Wisconsin,"W 10,000m"
Kenneth,Bednarek,Track and Field,Rice Lake,Wisconsin,"M 100m, M 200m"
Luca,Cupido,Water Polo (Men),Santa Margherita Ligure,Italy,Men
Jack,Lopez,Baseball,Toa Alta,Puerto Rico,Baseball
